2023-12-24 20:26:21.994,91282CJL6,99-317,0-003,
2023-12-24 20:26:22.294,91282CJL6,99-031,0-002,
2023-12-24 20:26:22.594,91282CJL6,99-106,0-00+,
2023-12-24 20:26:22.894,91282CJL6,100-310,0-003,
2023-12-24 20:26:23.194,91282CJL6,99-046,0-00+,
2023-12-24 20:26:23.494,91282CHY0,99-115,0-003,
2023-12-24 20:26:23.794,91282CHY0,100-287,0-00+,
2023-12-24 20:26:24.094,91282CHY0,100-267,0-002,
2023-12-24 20:26:24.394,91282CHY0,99-025,0-003,
2023-12-24 20:26:24.694,91282CHX2,99-046,0-002,
2023-12-24 20:26:24.994,91282CHX2,99-236,0-00+,
2023-12-24 20:26:25.294,91282CHX2,100-315,0-003,
2023-12-24 20:26:25.594,91282CHX2,99-206,0-00+,
2023-12-24 20:26:25.894,91282CJM4,99-01+,0-003,
2023-12-24 20:26:26.194,91282CJM4,100-31+,0-003,
2023-12-24 20:26:26.494,91282CJM4,99-171,0-003,
2023-12-24 20:26:26.794,91282CJM4,99-291,0-003,
2023-12-24 20:26:27.094,91282CJM4,100-292,0-002,
2023-12-24 20:26:27.409,91282CJJ1,99-086,0-00+,
2023-12-24 20:26:27.709,91282CJJ1,99-035,0-002,
2023-12-24 20:26:28.009,91282CJJ1,100-31+,0-003,
2023-12-24 20:26:28.309,91282CJJ1,99-002,0-002,
2023-12-24 20:26:28.609,912810TM0,99-241,0-003,
2023-12-24 20:26:28.909,912810TM0,100-310,0-003,
2023-12-24 20:26:29.209,912810TM0,100-233,0-00+,
2023-12-24 20:26:29.509,912810TM0,99-106,0-00+,
2023-12-24 20:26:29.809,912810TL2,99-072,0-002,
2023-12-24 20:26:30.109,912810TL2,100-06+,0-003,
2023-12-24 20:26:30.409,912810TL2,99-062,0-003,
2023-12-24 20:26:30.709,912810TL2,100-23+,0-003,
2023-12-24 20:26:31.009,912810TL2,99-056,0-003,
